Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Melaleuca cuticularis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410151.1,-,-,-,-,-,-,-
Melaleuca dealbata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296529.1,-,-,-,-,-,-,-,AF294598.1,-,-,-,-,-,-,-,-
Melaleuca deanei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EF041513.1,-,-,-,-,-,-,-,-
Melaleuca decussata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049427.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca diosmifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049428.1,-,-,-,-,-,-,-,AF048869.1,-,-,-,-,-,KM065193.1,-,-
Melaleuca eleuterostachya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410152.1,-,-,-,-,-,-,-
Melaleuca ericifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049429.1,-,-,-,-,-,-,-,AF048870.1,-,-,-,-,-,-,-,-
Melaleuca foliolosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296530.1,-,-,-,-,-,-,-,AF294587.1,-,-,-,-,-,-,-,-
Melaleuca fulgens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048898.1,-,-,-,-,-,-,-,-
Melaleuca gibbosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049430.1,-,-,-,-,-,-,-,AF048872.1,-,-,-,-,-,-,-,-
Melaleuca glomerata,-,-,-,EU410179.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF294588.1,EU410153.1,-,-,-,-,KM065130.1,_R_EU410221.1,-
Melaleuca gnidioides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049424.1,-,-,-,-,-,-,-,AF048866.1,-,-,-,-,-,-,-,-
Melaleuca halmaturorum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410154.1,-,-,-,-,-,-,-
Melaleuca howeana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049431.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca hypericifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049432.1,-,-,-,-,-,-,-,AF048873.1,-,-,-,-,-,-,-,-
Melaleuca lanceolata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296531.1,-,-,-,-,-,-,-,AF294589.1,EU410155.1,-,-,-,-,-,-,-
Melaleuca lasiandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049435.1,-,-,-,-,-,-,-,AF048874.1,-,-,-,-,-,-,-,-
Melaleuca lateritia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049434.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca leucadendra,-,-,-,EU410191.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296532.1,-,-,-,-,-,-,-,AF294590.1,EU410157.1,-,-,-,-,-,_R_EU410228.1,-
Melaleuca linariifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049436.1,-,-,-,-,-,-,-,AF048875.1,-,-,-,-,-,KM065071.1,-,-
Melaleuca minutifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049437.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca nervosa,-,-,-,EU410195.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296548.1,-,-,-,-,-,-,-,AF294599.1,EU410159.1,-,-,-,-,-,_R_EU410231.1,-
Melaleuca nesophila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296534.1,-,-,-,-,-,-,-,AF294591.1,AY498797.1,-,-,-,-,KM065221.1,-,-
Melaleuca nodosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296535.1,-,-,-,-,-,-,-,AF294592.1,EU410161.1,-,-,JN392736.1,-,-,-,-
Melaleuca pauperiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296536.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca preissiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296537.1,-,-,-,-,-,-,-,AF294593.1,-,-,-,-,-,-,-,-
Melaleuca pulchella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049438.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca pustulata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049439.1,-,-,-,-,-,-,-,AF048876.1,-,-,-,-,-,-,-,-
Melaleuca quinquenervia,-,-,-,EU410199.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KJ883160.1,KJ883163.1,KJ883169.1,KJ883176.1,KJ883178.1,-,AF296533.1,-,-,-,-,-,-,-,AF294604.1,EU410162.1,-,-,-,-,GU135000.1,_R_EU410233.1,GU135164.1
Melaleuca saligna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296538.1,-,-,-,-,-,-,-,AF294600.1,-,-,-,-,-,-,-,-
Melaleuca sericea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296539.1,-,-,-,-,-,-,-,AF294601.1,-,-,-,-,-,-,-,-
Melaleuca sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296545.1,-,-,-,-,-,-,-,AF048877.1,-,-,-,-,-,-,-,-
Melaleuca spathulata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049440.1,-,-,-,-,-,-,-,AF048878.1,-,-,-,-,-,-,-,-
Melaleuca stenostachya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296540.1,-,-,-,-,-,-,-,AF294594.1,-,-,-,-,-,-,-,KF496727.1
Melaleuca strobophylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410171.1,-,-,-,-,-,-,-
Melaleuca styphelioides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049441.1,-,-,-,-,-,-,-,AF048879.1,-,-,-,-,-,-,-,-
Melaleuca thymifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049458.1,-,-,-,-,-,-,-,AF048880.1,-,-,-,-,-,-,-,-
Melaleuca thyoides,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296541.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca trichostachya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296542.1,-,-,-,-,-,-,-,AF294602.1,-,-,-,-,-,-,-,-
Melaleuca uncinata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296543.1,-,-,-,-,-,-,-,AF294595.1,EU410172.1,-,-,-,-,-,-,-
Melaleuca viminea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048881.1,-,-,-,-,-,-,-,-
Melaleuca viridiflora,-,-,-,EU410216.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF296547.1,-,-,-,-,-,-,-,AF294609.1,AY498798.1,-,-,-,-,AF184708.1,_R_EU410242.1,AF184670.2
Melaleuca wilsonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049443.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Melaleuca zeteticorum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU410174.1,-,-,-,-,-,-,-
Metrosideros albiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606241.1,-,-,-,-,-,-,-,-,DQ328799.1,-,-,-,-,-,KM065070.1,-,-
Metrosideros angustifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606231.1,-,-,-,-,-,-,-,-,DQ328795.1,-,-,-,-,-,JX517871.1,-,AM235034.1
Metrosideros bartlettii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AF328046.1,-,-,-,-,-,-,-,-,AF172740.1,-,-,-,-,-,KM065232.1,-,-
Metrosideros boninensis,-,-,-,-,-,-,-,-,-,JF950917.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JF950693.1,-,-,-,-,-,-,-,AF172734.1,-,-,-,AB817456.1,-,-,-,-
Metrosideros brevistylis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606237.1,-,-,-,-,-,-,-,-,AF211496.1,-,-,-,-,-,-,-,-
Metrosideros cacuminum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606238.1,-,-,-,-,-,-,-,-,AF211497.1,-,-,-,-,-,-,-,-
Metrosideros carminea,-,-,-,-,-,-,-,-,-,JF950918.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606243.1,-,-,-,-,-,-,-,-,AF211498.1,AY498799.1,-,-,-,-,AY521541.1,-,-
Metrosideros cf.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606254.1,-,-,-,-,-,-,-,-,AF172766.1,-,-,-,-,-,-,-,-
Metrosideros cherrieri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172768.1,-,-,-,-,-,-,-,-
Metrosideros colensoi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064776.1,-,-,-,-,-,-,-,-,AF211499.1,-,-,-,-,-,KM065133.1,-,-
Metrosideros collina,-,-,-,-,EU604836.1,EU605157.1,EU605585.1,-,-,JF950919.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605370.1,-,-,-,-,-,-,-,EU605371.1,EU604943.1,-,-,-,-,-,_R_AF328061.1,JF950694.1,-,-,-,-,-,_R_EU605478.1,-,AF172735.1,-,-,-,-,-,KM065188.1,-,-
Metrosideros cordata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606240.1,-,-,-,-,-,-,-,-,JF950776.1,-,-,-,-,-,-,-,-
Metrosideros diffusa,-,-,-,-,-,-,-,-,-,JF950920.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606236.1,-,-,-,-,-,-,-,-,AF211500.1,AY498800.1,-,-,KF591224.1,-,AY521542.1,-,-
Metrosideros dolichandra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606239.1,-,-,-,-,-,-,-,-,AF211501.1,-,-,-,-,-,-,-,-
Metrosideros engleriana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172736.1,-,-,-,-,-,-,-,-
Metrosideros excelsa,-,-,-,-,EU604840.1,EU605161.1,EU605589.1,-,-,JF950921.1,AF007869.1,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605268.1,-,-,-,-,-,-,-,EU605375.1,EU604947.1,-,-,-,-,-,_R_AF328047.1,JF950695.1,-,-,-,-,-,_R_AM235462.1,AM235606.1,AF172738.1,AM235426.1,-,-,-,-,HM851052.1,-,AM235659.1
Metrosideros fulgens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606244.1,-,-,-,-,-,-,-,-,DQ328800.1,-,-,-,-,-,KM065067.1,-,-
Metrosideros gregoryi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172769.1,-,-,-,-,-,-,-,-
Metrosideros halconensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606234.1,-,-,-,-,-,-,-,-,DQ328797.1,-,-,-,-,-,-,-,-
Metrosideros humboldtiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172744.1,-,-,-,-,-,-,-,-
Metrosideros kermadecensis,-,-,-,-,-,-,-,-,-,JF950924.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JF950869.1,-,-,-,-,-,-,_R_AF328049.1,JF950698.1,-,-,-,-,-,-,-,AF172743.1,-,-,-,-,-,KM065091.1,-,-
Metrosideros longipetiolata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606245.1,-,-,-,-,-,-,-,-,AF211502.1,-,-,-,-,-,-,-,-
Metrosideros macropus,-,-,-,-,EU604859.1,EU605180.1,EU605608.1,-,-,JF950925.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605287.1,-,-,-,-,-,-,-,EU605394.1,EU604966.1,-,-,-,-,-,_R_AF328052.1,-,-,-,-,-,-,_R_EU605501.1,-,AF172745.1,AY498801.1,-,-,-,-,AF368212.2,-,-
Metrosideros microphylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172746.1,-,-,-,-,-,-,-,-
Metrosideros nervulosa,-,-,-,-,EU604839.1,EU605160.1,EU605588.1,-,-,JF950926.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605267.1,-,-,-,-,-,-,-,EU605374.1,EU604946.1,-,-,-,-,-,_R_AF328051.1,JF950699.1,-,-,-,-,AJ235535.2,_R_DQ088395.1,-,AF172747.1,AY498802.1,-,-,-,-,DQ088535.1,-,AJ235785.1
Metrosideros nitida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172770.1,-,-,-,-,-,-,-,-
Metrosideros ochrantha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172748.1,-,-,-,-,-,-,-,-
Metrosideros operculata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606246.1,-,-,-,-,-,-,-,-,AF172733.1,-,-,-,-,-,-,-,-
Metrosideros oreomyrtus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172749.1,-,-,-,-,-,-,-,-
Metrosideros ovata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606232.1,-,-,-,-,-,-,-,-,DQ328793.1,-,-,-,-,-,-,-,-
Metrosideros paniensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606247.1,-,-,-,-,-,-,-,-,AF211503.1,-,-,-,-,-,-,-,-
Metrosideros parkinsonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606248.1,-,-,-,-,-,-,-,-,DQ328796.1,-,-,-,-,-,KM065231.1,-,-
Metrosideros patens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606249.1,-,-,-,-,-,-,-,-,AF211504.1,-,-,-,-,-,-,-,-
Metrosideros perforata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489931.1,-,-,-,-,-,-,-,-,AF172732.1,-,-,-,-,-,AM489998.1,_R_AM489848.1,-
Metrosideros polymorpha,-,-,-,-,EU604841.1,EU605162.1,EU605590.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605269.1,-,-,-,-,-,-,-,EU605376.1,EU604948.1,KJ883158.1,KJ883162.1,KJ883166.1,KJ883173.1,KJ883177.1,_R_AF328055.1,-,-,-,-,-,-,_R_EU605483.1,GU256430.1,AF172750.1,-,-,-,-,-,-,-,-
Metrosideros porphyrea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606251.1,-,-,-,-,-,-,-,-,AF211505.1,-,-,-,-,-,-,-,-
Metrosideros punctata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172755.1,-,-,-,-,-,-,-,-
Metrosideros ramiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606235.1,-,-,-,-,-,-,-,-,DQ328798.1,-,-,-,-,-,-,-,-
Metrosideros robusta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AF328048.1,-,-,-,-,-,-,-,-,AF172758.1,-,-,-,-,-,KM065151.1,-,-
Metrosideros rotundifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606253.1,-,-,-,-,-,-,-,-,AF211507.1,-,-,-,-,-,-,-,-
Metrosideros rugosa,-,-,-,-,EU604856.1,EU605177.1,EU605605.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605284.1,-,-,-,-,-,-,-,EU605391.1,EU604963.1,-,-,-,-,-,_R_AF328060.1,-,-,-,-,-,-,_R_EU605498.1,-,AF172759.1,-,-,-,-,-,-,-,-
Metrosideros sclerocarpa,-,-,-,-,-,-,-,-,-,JF950933.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JF950875.1,-,-,-,-,-,-,_R_AF328050.1,JF950706.1,-,-,-,-,-,-,-,AF172760.1,-,-,-,-,-,-,-,-
Metrosideros sp.,-,-,-,-,-,-,-,-,-,JF950934.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172761.1,-,-,-,-,-,-,-,-
Metrosideros tetrasticha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF172762.1,-,-,-,-,-,-,-,-
Metrosideros tremuloides,-,-,-,-,EU604862.1,EU605183.1,EU605611.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605290.1,-,-,-,-,-,-,-,EU605397.1,EU604969.1,-,-,-,-,-,_R_AF328053.1,-,-,-,-,-,-,_R_EU605504.1,-,AF172763.1,-,-,-,-,-,-,-,-
Metrosideros umbellata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064638.1,-,-,-,-,-,-,-,-,AF172764.1,-,-,-,KF591294.1,-,KM065079.1,-,-
Metrosideros waialealae,-,-,-,-,EU604867.1,EU605188.1,EU605616.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU605295.1,-,-,-,-,-,-,-,EU605402.1,EU604974.1,-,-,-,-,-,_R_AF328054.1,-,-,-,-,-,-,_R_EU605509.1,-,AF172765.1,-,-,-,-,-,-,-,-
Metrosideros whitakeri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606252.1,-,-,-,-,-,-,-,-,AF211506.1,-,-,-,-,-,-,-,-
Metrosideros whiteana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606233.1,-,-,-,-,-,-,-,-,DQ328794.1,-,-,-,-,-,-,-,-
Micromyrtus ciliata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM064940.1,-,-,-,-,-,AF489400.1,-,AF489345.1
